MSA,ViolentCrime,Murder,Rape,Robbery,AggravatedAssault,PropertyCrime,Burglary,Theft,MotorVehicleTheft,State,City
"Sherman-Denison, TX M.S.A.",327.1,6.4,58.7,49.8,212.2,"2,123.40",496.7,"1,434.60",192.1,TX,Sherman
"Shreveport-Bossier City, LA M.S.A.",579.7,7.9,44.7,129.7,397.4,"3,596.70",787.9,"2,601.20",207.6,LA,Shreveport
"Sioux City, IA-NE-SD M.S.A.2",269.5,1.8,37.3,34.9,195.5,"2,735.40",479.2,"2,036.50",219.8,IA,Sioux City
"Sioux Falls, SD M.S.A.",363.7,1.2,57.9,35.3,269.3,"2,503.30",492.2,"1,826.70",184.4,SD,Sioux Falls
"South Bend-Mishawaka, IN-MI M.S.A.",354.4,7.2,52.3,134.8,160.1,"3,094.00",749,"2,158.50",186.5,IN,South Bend
"Spartanburg, SC M.S.A.",406.2,7.7,46.6,87.9,264,"2,772.30",605.5,"1,998.10",168.7,SC,Spartanburg
"Spokane-Spokane Valley, WA M.S.A.",304.9,3.8,44.9,85.5,170.7,"4,745.00",922.7,"3,350.00",472.3,WA,Spokane
"Springfield, IL M.S.A.",720.2,5.2,70,131.1,513.9,"3,075.50",669.1,"2,286.60",119.7,IL,Springfield
"Springfield, MA M.S.A.",529.5,3.5,52,120.8,353.2,"2,366.80",529.4,"1,656.20",181.2,MA,Springfield
"Springfield, MO M.S.A.",621.3,3.3,80.6,110,427.3,"4,022.50",695.1,"2,970.40",357,MO,Springfield
"Springfield, OH M.S.A.",298.1,8.8,30.1,130.7,128.5,"3,596.40","1,016.20","2,392.20",188,OH,Springfield
"State College, PA M.S.A.",102.6,1.3,39.4,8.1,53.8,"1,177.40",175.2,980.9,21.3,PA,State College
"Staunton-Waynesboro, VA M.S.A.",139.4,3.3,28.4,24.2,83.5,"1,483.30",197,"1,223.70",62.6,VA,Staunton
"St. Cloud, MN M.S.A.",173,2.1,49.2,30.6,91.2,"2,655.30",332,"2,223.80",99.5,MN,St. Cloud
"St. George, UT M.S.A.",133.3,0,37.8,10.9,84.6,"1,676.20",372.4,"1,188.40",115.4,UT,St. George
