HighCostLowGraduation,LowCostLowGraduation,LowCostHighGraduation,HighCostHighGraduation
166850.0,133508.0,154518.0,150145.0
166911.0,133526.0,154590.0,150303.0
166975.0,133650.0,154688.0,150428.0
166984.0,133669.0,154721.0,150437.0
167020.0,133702.0,154749.0,150455.0
167057.0,133960.0,154767.0,150604.0
167224.0,134121.0,154776.0,150668.0
167297.0,134343.0,154794.0,150677.0
167358.0,134495.0,154855.0,150695.0
167394.0,134510.0,155089.0,150756.0
167598.0,134608.0,155177.0,150765.0
167783.0,135063.0,155292.0,150941.0
167792.0,135160.0,155335.0,151351.0
167899.0,135179.0,155353.0,151458.0
167996.0,135188.0,155414.0,151467.0
168005.0,135276.0,155487.0,151607.0
168227.0,135294.0,155496.0,151652.0
168254.0,135391.0,155511.0,151962.0
168281.0,135647.0,155520.0,152044.0
168290.0,135735.0,155627.0,152080.0
168421.0,136145.0,155812.0,152099.0
168546.0,136172.0,155900.0,152309.0
168573.0,136206.0,155937.0,152327.0
168740.0,136233.0,156125.0,152336.0
169080.0,136358.0,156365.0,152381.0
169442.0,136400.0,156541.0,152390.0
169716.0,136473.0,156745.0,152600.0
169734.0,136491.0,156842.0,152628.0
169761.0,136516.0,156903.0,152673.0
169983.0,136659.0,157021.0,152822.0
170046.0,137078.0,157076.0,153074.0
170675.0,137087.0,157100.0,153083.0
171313.0,137096.0,157216.0,153092.0
171322.0,137209.0,157359.0,153162.0
171988.0,137245.0,157377.0,153171.0
171997.0,137281.0,157465.0,153302.0
172015.0,137315.0,157599.0,153320.0
172866.0,137759.0,157632.0,153339.0
173045.0,137856.0,157696.0,153384.0
173160.0,137865.0,157757.0,153427.0
173665.0,137953.0,157766.0,153463.0
174127.0,138187.0,157793.0,153542.0
174491.0,138354.0,157863.0,153588.0
174534.0,138558.0,158802.0,153597.0
174747.0,138682.0,159009.0,153603.0
174899.0,138691.0,159568.0,153658.0
174914.0,138840.0,159656.0,153746.0
175005.0,138901.0,160074.0,153764.0
175980.0,138956.0,160621.0,153773.0
176479.0,139010.0,160904.0,153782.0
176549.0,139205.0,160940.0,153825.0
176770.0,139250.0,160995.0,154013.0
177083.0,139278.0,161165.0,154095.0
177214.0,139311.0,161509.0,154129.0
177302.0,139357.0,161554.0,154165.0
177436.0,139366.0,161563.0,154174.0
177746.0,139384.0,161572.0,154208.0
178059.0,139463.0,161800.0,154341.0
178183.0,139506.0,161873.0,154448.0
178305.0,139621.0,162061.0,154457.0
178350.0,139630.0,162210.0,154466.0
178891.0,139700.0,162584.0,154545.0
179159.0,139764.0,162681.0,154934.0
179511.0,139968.0,162830.0,154970.0
179548.0,139986.0,163347.0,155052.0
179894.0,140012.0,163541.0,155098.0
179946.0,140243.0,163578.0,155159.0
179955.0,140331.0,163921.0,155317.0
179964.0,140599.0,164173.0,155399.0
180106.0,140678.0,164447.0,155423.0
180878.0,140720.0,164492.0,155441.0
181002.0,140942.0,164614.0,155593.0
181020.0,140960.0,164632.0,155618.0
181127.0,141006.0,164641.0,155681.0
181446.0,141097.0,164720.0,155830.0
182148.0,141158.0,164872.0,155867.0
182430.0,141167.0,165060.0,156277.0
182458.0,141255.0,165167.0,156295.0
182661.0,141334.0,165264.0,156417.0
182953.0,141565.0,165529.0,156444.0
182999.0,141680.0,165556.0,156949.0
183026.0,141796.0,165574.0,156967.0
183044.0,141802.0,165644.0,157030.0
183062.0,141811.0,165802.0,157085.0
183202.0,141839.0,165884.0,157289.0
183211.0,141981.0,166054.0,157401.0
183239.0,141990.0,166391.0,157456.0
183488.0,142115.0,166601.0,157508.0
183725.0,142328.0,166948.0,157818.0
184047.0,142443.0,167039.0,157827.0
184056.0,142559.0,167251.0,158088.0
184092.0,143215.0,167260.0,158158.0
184278.0,143279.0,167321.0,158440.0
184348.0,143288.0,167738.0,158477.0
184782.0,143482.0,167987.0,158538.0
184870.0,143613.0,168528.0,158617.0
184959.0,144005.0,169327.0,158644.0
184968.0,144157.0,169363.0,158787.0
185174.0,144166.0,169479.0,159027.0
185572.0,144175.0,170037.0,159319.0
185590.0,144184.0,170091.0,159328.0
185721.0,144193.0,170417.0,159391.0
185767.0,144209.0,170967.0,159513.0
185916.0,144218.0,171465.0,159522.0
185970.0,144564.0,171599.0,159531.0
186274.0,144865.0,171881.0,159601.0
186283.0,144944.0,172264.0,160117.0
186335.0,145521.0,172440.0,160126.0
186584.0,145682.0,172954.0,160135.0
186593.0,145707.0,173328.0,160199.0
186867.0,145831.0,173416.0,160320.0
187161.0,146010.0,173489.0,160445.0
188429.0,146205.0,173629.0,160472.0
188526.0,146278.0,173887.0,160597.0
188650.0,146296.0,173939.0,160913.0
188669.0,146348.0,173984.0,160959.0
188678.0,146366.0,174206.0,160977.0
188854.0,146418.0,174279.0,161004.0
188890.0,146472.0,174376.0,161086.0
189088.0,146506.0,174385.0,161226.0
189404.0,146603.0,174394.0,161253.0
189413.0,146685.0,174437.0,161493.0
189811.0,147004.0,174765.0,161527.0
190008.0,147378.0,174817.0,161615.0
190044.0,147411.0,174862.0,161651.0
190503.0,147439.0,175014.0,161855.0
190983.0,147800.0,175227.0,162335.0
191241.0,147916.0,175263.0,162654.0
